INFO:root:Episode: 0, Average Reward: 1.00,Max Reward: 1.0 Average Loss: 9.74,exploration rate: 0.9998425137804462
INFO:root:Episode: 10, Average Reward: 1.60,Max Reward: 5.0 Average Loss: 0.91,exploration rate: 0.9980239724498269
INFO:root:Episode: 20, Average Reward: 1.10,Max Reward: 5.0 Average Loss: 0.45,exploration rate: 0.996391055225382
INFO:root:Episode: 30, Average Reward: 1.90,Max Reward: 5.0 Average Loss: 0.44,exploration rate: 0.9945392339663197
INFO:root:Episode: 40, Average Reward: 1.00,Max Reward: 5.0 Average Loss: 0.35,exploration rate: 0.9929581929045564
INFO:root:Episode: 50, Average Reward: 1.80,Max Reward: 5.0 Average Loss: 0.40,exploration rate: 0.9911437618421277
INFO:root:Episode: 60, Average Reward: 1.00,Max Reward: 5.0 Average Loss: 0.38,exploration rate: 0.989611422384313
INFO:root:Episode: 70, Average Reward: 1.50,Max Reward: 5.0 Average Loss: 0.31,exploration rate: 0.9878277627607422
INFO:root:Episode: 80, Average Reward: 1.00,Max Reward: 5.0 Average Loss: 0.25,exploration rate: 0.9862612425761625
INFO:root:Episode: 90, Average Reward: 0.50,Max Reward: 5.0 Average Loss: 0.22,exploration rate: 0.9848762133679404
INFO:root:Episode: 100, Average Reward: 1.70,Max Reward: 5.0 Average Loss: 0.26,exploration rate: 0.9830923337093175
INFO:root:Saved model at episode 100 to saved_models\dqn_model_episode_100.pth
INFO:root:Episode: 110, Average Reward: 1.30,Max Reward: 5.0 Average Loss: 0.41,exploration rate: 0.9814301540175315
INFO:root:Episode: 120, Average Reward: 0.90,Max Reward: 5.0 Average Loss: 0.33,exploration rate: 0.979931235836605
INFO:root:Episode: 130, Average Reward: 1.20,Max Reward: 5.0 Average Loss: 0.23,exploration rate: 0.9783154076261512
INFO:root:Episode: 140, Average Reward: 0.70,Max Reward: 5.0 Average Loss: 0.19,exploration rate: 0.9768989499470785
INFO:root:Episode: 150, Average Reward: 0.70,Max Reward: 5.0 Average Loss: 0.17,exploration rate: 0.9754795236938578
INFO:root:Episode: 160, Average Reward: 1.50,Max Reward: 5.0 Average Loss: 0.21,exploration rate: 0.9737643905855385
INFO:root:Episode: 170, Average Reward: 1.20,Max Reward: 5.0 Average Loss: 0.36,exploration rate: 0.9722026235079709
INFO:root:Episode: 180, Average Reward: 1.00,Max Reward: 5.0 Average Loss: 0.24,exploration rate: 0.9706480011630834
INFO:root:Episode: 190, Average Reward: 0.80,Max Reward: 5.0 Average Loss: 0.19,exploration rate: 0.969216962553129
INFO:root:Episode: 200, Average Reward: 1.00,Max Reward: 5.0 Average Loss: 0.17,exploration rate: 0.9677067078023542
INFO:root:Saved model at episode 200 to saved_models\dqn_model_episode_200.pth
INFO:root:Episode: 210, Average Reward: 0.90,Max Reward: 5.0 Average Loss: 0.17,exploration rate: 0.9662267959162837
INFO:root:Episode: 220, Average Reward: 0.40,Max Reward: 5.0 Average Loss: 0.15,exploration rate: 0.9648713463478945
INFO:root:Episode: 230, Average Reward: 0.40,Max Reward: 5.0 Average Loss: 0.27,exploration rate: 0.9635637854201478
INFO:root:Episode: 240, Average Reward: 2.00,Max Reward: 5.0 Average Loss: 0.28,exploration rate: 0.9617522042967009
INFO:root:Episode: 250, Average Reward: 1.00,Max Reward: 5.0 Average Loss: 0.24,exploration rate: 0.9602179293136648
INFO:root:Episode: 260, Average Reward: 1.70,Max Reward: 5.0 Average Loss: 0.23,exploration rate: 0.9584622980720352
INFO:root:Episode: 270, Average Reward: 1.60,Max Reward: 5.0 Average Loss: 0.19,exploration rate: 0.9567830733898532
INFO:root:Episode: 280, Average Reward: 1.00,Max Reward: 5.0 Average Loss: 0.31,exploration rate: 0.9553072518949911
INFO:root:Episode: 290, Average Reward: 0.90,Max Reward: 5.0 Average Loss: 0.26,exploration rate: 0.9538023812519041
INFO:root:Episode: 300, Average Reward: 0.80,Max Reward: 5.0 Average Loss: 0.18,exploration rate: 0.9523853926314738
INFO:root:Saved model at episode 300 to saved_models\dqn_model_episode_300.pth
INFO:root:Episode: 310, Average Reward: 0.90,Max Reward: 5.0 Average Loss: 0.20,exploration rate: 0.9509511835732437
INFO:root:Episode: 320, Average Reward: 1.30,Max Reward: 5.0 Average Loss: 0.18,exploration rate: 0.9493860236160898
INFO:root:Episode: 330, Average Reward: 1.10,Max Reward: 5.0 Average Loss: 0.17,exploration rate: 0.9478737655441323
INFO:root:Episode: 340, Average Reward: 2.10,Max Reward: 5.0 Average Loss: 0.32,exploration rate: 0.9460595636422283
